Model,Group,EO_gap,Diff. TPR,Diff. TNR,Diff. FPR,Diff. FNR,SP,DI
25,race_Black,0.1224492419348013,0.09950868109008426,0.12244924193480133,0.1224492419348013,0.0995086810900842,-0.23718311264887887,0.08957792460498026
25,race_White,0.07491354983571621,0.008687571799196214,0.07491354983571619,0.07491354983571621,0.008687571799196214,0.14122632372632377,-0.03812588492727531
25,race_Asian-Pac-Islander,0.08671706951803948,0.08671706951803948,0.03487846308079956,0.03487846308079953,0.08671706951803954,0.08257571092777272,-0.05038921652199202
25,race_Amer-Indian-Eskimo,0.1471210541283534,0.14473239964986873,0.1471210541283534,0.1471210541283534,0.1447323996498687,0.025651637045983944,0.13549441281889085
26,sex_Female,0.20274802317756319,0.12133924409667474,0.20274802317756313,0.20274802317756319,0.12133924409667474,-0.33199588997990703,0.10363398589488615
26,age_>45,0.17927277772858796,0.0627444359723649,0.17927277772858796,0.17927277772858796,0.06274443597236487,0.2170433399868824,-0.04886495701514637
26,race_Black,0.13190691214433897,0.06369670216122492,0.13190691214433892,0.13190691214433897,0.06369670216122489,-0.23309053477003283,0.060596227220589105
26,race_White,0.09753272265959437,0.0160075107633324,0.09753272265959434,0.09753272265959437,0.0160075107633324,0.15826823576823584,-0.029631897114784866
26,race_Asian-Pac-Islander,0.028544874565926914,0.028544874565926914,0.0023595406456782264,0.0023595406456781987,0.028544874565926887,0.03426352568833568,-0.030337758941313853
26,race_Amer-Indian-Eskimo,0.1033825184444166,0.1033825184444166,0.04868075962966467,0.04868075962966473,0.10338251844441665,-0.05674391769476317,0.09744485278147019
27,sex_Female,0.21243880553747047,0.07964489138807074,0.2124388055374704,0.21243880553747047,0.07964489138807071,-0.3248801139176178,0.07563931174724148
27,age_>45,0.13507917580351567,0.04552628954325877,0.1350791758035157,0.13507917580351567,0.04552628954325871,0.18932536984018372,-0.053783705195408094
27,race_Black,0.11716432817537883,0.1074581784755737,0.1171643281753788,0.11716432817537883,0.10745817847557368,-0.2370140277815831,0.10246215573242223
27,race_White,0.09648570103512114,0.07071814909092178,0.09648570103512111,0.09648570103512114,0.07071814909092178,0.1783157508157508,-0.06542706717555613
27,race_Asian-Pac-Islander,0.0394512816088706,0.032325088418892034,0.03945128160887057,0.0394512816088706,0.032325088418892006,-0.015434711782600252,-0.0074849587001595275
27,race_Amer-Indian-Eskimo,0.07522821057896711,0.07522821057896711,0.048101241823869545,0.0481012418238696,0.07522821057896713,-0.06567325942541624,0.11411336919276094
28,sex_Female,0.20085654259796293,0.1174417105511093,0.20085654259796293,0.20085654259796293,0.11744171055110927,-0.3309382851646516,0.09062220940274257
28,age_>45,0.13299009061531097,0.02809964305651158,0.13299009061531097,0.13299009061531097,0.02809964305651158,0.17944049044773303,-0.03759736104551725
